Año,Grupo,Número
1995,Medio,2
1995,Academia ,2
1996,Academia ,1
1998,Organización social,2
1999,Organización social,1
2000,Organización social,1
2001,Medio,1
2001,Organización social,1
2003,Organización social,2
2003,Colectivo,1
2003,Cooperativa,1
2004,Academia ,1
2004,Colectivo,1
2004,Organización social,2
2005,Organización social,4
2005,Colectivo,1
2005,Medio,1
2006,Organización social,2
2007,Organización social,5
2008,Organización social,3
2009,Medio,1
2009,Organización social,3
2010,Organización social,5
2010,Cooperativa,1
2011,Organización social,3
2011,Medio,8
2012,Organización social,5
2013,Organización social,5
2013,Medio,1
2013,Colectivo,3
2014,Organización social,4
2014,Medio,1
2014,Colectivo,2
2015,Cooperativa,1
2015,Medio,1
2015,Organización social,3
2016,Organización social,3
2017,Organización social,2
2017,Medio,5
2018,Medio,5
2018,Organización social,1
2019,Organización social,2
2020,Organización social,2
2021,Organización social,1
2012,Medio,5
2010,Colectivo,2
2015,Colectivo,1
2021,Medio,2
2017,Colectivo,2
2018,Colectivo,3
2019,Medio,3
2021,Colectivo,1
2019,Cooperativa,1
